Country Code,Series Code,YR1998,YR1999,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,Most_Recent
ALB,EN.ATM.GHGT.KT.CE,5246.1311,6493.4872,8389.2767,6820.6244,7503.05976,7834.0157,7401.10155,8308.3856,8027.14955,9879.3935,8136.785,8108.812387,8506.996034,8712.296365,8898.640911,,,8898.640911
DZA,EN.ATM.CO2E.KT,106999.393,92045.367,87861.32,84219.989,89907.506,91575.991,88510.379,107278.085,101069.854,109404.945,110208.018,121399.702,119177.5,121187.016,129987.816,134465.223,145400.217,145400.217
DZA,EN.ATM.CO2E.PC,3.527173598,2.991826199,2.817543547,2.665851517,2.810044593,2.826112964,2.69593129,3.22268315,2.992187469,3.189641475,3.161381458,3.423011434,3.299703688,3.291376176,3.46026581,3.507310029,3.717409901,3.717409901
DZA,EN.ATM.CO2E.KD.GD,1.038194799,0.865405727,0.795675298,0.740424379,0.748443844,0.7111194,0.658967549,0.754141655,0.698729128,0.731673905,0.7200505,0.780433442,0.739281181,0.730618103,0.758092907,0.763085821,0.795017388,0.795017388
DZA,EN.CO2.ETOT.ZS,48.28725439,48.10375965,47.4386079,47.92063492,47.38000881,45.19177321,43.27198364,42.07876049,42.40059457,40.0117855,40.03405221,38.83063235,37.92419338,38.86984624,39.86626909,38.42641377,38.8269747,38.8269747
DZA,EN.ATM.CO2E.GF.ZS,51.10867405,55.36831202,45.23372287,48.75691209,49.7063382,48.11596524,46.59651158,57.10476842,48.82446847,46.72364672,46.81240434,45.25463662,44.81538462,46.84398451,49.36526743,48.71417273,50.82091246,50.82091246
DZA,EN.ATM.CO2E.LF.ZS,30.950341,24.12652882,35.15859766,33.81808682,32.83302064,34.90970248,37.10900278,28.96940694,34.88861476,35.05614211,33.92892793,37.00839727,38.09538462,38.74969741,37.37305349,38.64299545,36.37234874,36.37234874
DZA,EN.CO2.MANF.ZS,9.841766649,9.932687572,10.01788909,9.920634921,9.702040217,9.741523068,11.02931152,10.60038735,10.77666295,11.45550972,11.43019296,10.43321682,11.4336431,10.97835667,9.216589862,8.895328416,8.338078581,8.338078581
DZA,EN.CO2.OTHX.ZS,0,0,0,0,0,0,0,0,0,0,0,4.16269463,3.727680902,3.8781706,3.189662962,4.048120829,2.367200846,2.367200846
DZA,EN.CO2.BLDG.ZS,15.0060859,14.92365786,15.15693609,15.11111111,14.51636577,14.84157865,15.69188821,16.1394448,15.0997151,16.02828521,15.40295119,14.2675564,13.81434687,14.29830575,15.17122978,15.78854935,15.17937037,15.17937037
DZA,EN.ATM.CO2E.SF.ZS,1.974022413,2.362455679,2.241235392,2.490529891,2.903988906,3.047291074,2.175083896,2.204751325,2.67397141,2.755153343,2.731749518,1.313961215,1.021538462,0.865407892,0.798352516,0.539965639,0.375778669,0.375778669
DZA,EN.CO2.TRAN.ZS,26.88228134,27.03989493,27.38656692,27.04761905,28.4015852,30.22512507,30.0204499,31.18140736,31.73541434,32.51620507,33.13280363,32.3164919,33.10013574,31.96552737,32.55624831,32.83280646,35.28024079,35.28024079
DZA,EN.ATM.GHGT.ZG,18.89734042,24.7530604,25.67726956,21.50297404,23.27647726,31.13932917,31.37827985,37.38585736,42.47189374,47.80611272,50.70134343,51.10967283,57.52110974,61.86968473,65.78502652,,,65.78502652
DZA,EN.ATM.GHGT.KT.CE,126561.246,132794.415,133778.197,129334.834,131222.654,139592.331,139846.684,146241.499,151655.372,157333.425,160415.277,160849.9266,167674.633,172303.5092,176471.2268,,,176471.2268
ASM,EN.ATM.CO2E.KT,,,,,,,,,,,,,,,,,,
ASM,EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,
ASM,EN.ATM.CO2E.KD.GD,,,,,,,,,,,,,,,,,,
ASM,EN.CO2.ETOT.ZS,,,,,,,,,,,,,,,,,,
ASM,EN.ATM.CO2E.GF.ZS,,,,,,,,,,,,,,,,,,
ASM,EN.ATM.CO2E.LF.ZS,,,,,,,,,,,,,,,,,,
ASM,EN.CO2.MANF.ZS,,,,,,,,,,,,,,,,,,
ASM,EN.CO2.OTHX.ZS,,,,,,,,,,,,,,,,,,
ASM,EN.CO2.BLDG.ZS,,,,,,,,,,,,,,,,,,
ASM,EN.ATM.CO2E.SF.ZS,,,,,,,,,,,,,,,,,,
ASM,EN.CO2.TRAN.ZS,,,,,,,,,,,,,,,,,,
ASM,EN.ATM.GHGT.ZG,17.40639837,52.76532108,133.8214438,149.6553582,151.9368869,154.3416752,156.7068048,159.0657914,161.5232356,164.525697,167.9716857,169.8019172,177.8884027,183.3150361,188.3294664,,,188.3294664
ASM,EN.ATM.GHGT.KT.CE,23.9290422,31.135678,47.656033,50.883203,51.34821,51.838339,52.320385,52.801179,53.30204,53.913983,54.616323,54.98934941,56.6374866,57.74350928,58.76551929,,,58.76551929
